Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.5719,Fri Aug 10 20:04:05 +0000 2018,0.0,0.837,0.163,"A mix of musicians with New York roots celebrate the changing soundscape of the Big Apple. 🚖🇺🇸🗽🍎🎶

@bbcproms: New Y… https://t.co/h2KlqvJ1b6",0,@BBC
-0.3252,Fri Aug 10 18:00:18 +0000 2018,0.152,0.848,0.0,😈 Ever wondered what happens if you don't say 'bless you' after someone sneezes? https://t.co/7u0MPlOxuI,1,@BBC
0.0,Fri Aug 10 15:59:00 +0000 2018,0.0,1.0,0.0,Exact plans for this weekend... 😴 #FridayFeeling https://t.co/Qs7CVmNqUM,2,@BBC
0.1027,Fri Aug 10 14:20:17 +0000 2018,0.076,0.833,0.091,"RT @BBC_Future: If we cut the time moving our eyes, can we read at much greater speeds? Give speed-reading a try yourself in this video. ht…",3,@BBC
0.6696,Fri Aug 10 13:45:48 +0000 2018,0.0,0.824,0.176,"RT @BBCR1: Voting for the #R1TeenAwards is now open! 

Who gets your vote for Best International Solo Artist?

Full terms + privacy notice…",4,@BBC
-0.296,Fri Aug 10 13:04:05 +0000 2018,0.155,0.845,0.0,"Could your drinking habits stop you from getting a mortgage? 🍻🏡

📻👉 https://t.co/bBSqFrB1bV https://t.co/JWVH9hv7iH",5,@BBC
0.4019,Fri Aug 10 12:01:06 +0000 2018,0.0,0.769,0.231,😂 When you need an adult to help you adult. https://t.co/dmTAtQG1hp,6,@BBC
0.3182,Fri Aug 10 11:03:03 +0000 2018,0.0,0.901,0.099,🐊👩‍🎓 A US college student has made sure her graduation snaps are ones to remember - after posing in her cap and sas… https://t.co/Yuwif9uJ9o,7,@BBC
0.7281,Fri Aug 10 10:03:05 +0000 2018,0.0,0.71,0.29,"This brave little lizard clearly hasn't heard of the phrase 'never wake a sleeping lion'! 🦁🦎
 #WorldLionDay

https://t.co/F8oMgbsWok",8,@BBC
0.0,Fri Aug 10 08:49:05 +0000 2018,0.0,1.0,0.0,RT @BBCNewsbeat: Stick it in your diary! @gregjames has just announced he’ll be on the @bbcr1 Breakfast Show from Monday 20th August. https…,9,@BBC
0.0,Fri Aug 10 08:48:28 +0000 2018,0.0,1.0,0.0,"RT @bbcweather: So far this summer, we've had 26 days of 30C or over and 65 days of 25C or over. 
In 1976 we saw 24 days above 30C. 
30C+ d…",10,@BBC
0.3612,Fri Aug 10 08:00:21 +0000 2018,0.0,0.828,0.172,"🦏🚨 This is what it looks like when rhinos get road rage...

https://t.co/01oliiia90",11,@BBC
0.4472,Fri Aug 10 07:25:08 +0000 2018,0.0,0.882,0.118,"By distinguishing future from present in what we say, can we end up saving less and even caring less for the enviro… https://t.co/L78chQm5nu",12,@BBC
0.0,Fri Aug 10 07:00:20 +0000 2018,0.0,1.0,0.0,"💅🏻 84-year-old Maisie Trollette has performed at every single #BrightonPride since 1973.
Could she be Britain's old… https://t.co/2fhpNHgMS5",13,@BBC
0.0,Thu Aug 09 18:05:04 +0000 2018,0.0,1.0,0.0,"😂 Say it with us - ""pooper scooper"". 
#TheGNShow https://t.co/LzGNbCvOcN",14,@BBC
0.5719,Thu Aug 09 17:31:08 +0000 2018,0.0,0.684,0.316,"Everyone loves Colin Firth as Mr Darcy... 😍#PrideAndPrejudice 

https://t.co/9q59u7LNVg",15,@BBC
0.0,Thu Aug 09 16:17:46 +0000 2018,0.0,1.0,0.0,"Gemma Arterton, Catherine Tate, @Gemma_Chan, @EmiliaClarke, @IAmLenaHeadey, Anthony Welsh, @KT_Leung, @WunMo,… https://t.co/HgPtbdYJsr",16,@BBC
0.0,Thu Aug 09 16:03:02 +0000 2018,0.0,1.0,0.0,"😂 Remember the time Attenborough said 'BOO!' to a sloth?

#LifeOfMammals https://t.co/x8UxG2gTpL",17,@BBC
0.1581,Thu Aug 09 15:24:00 +0000 2018,0.124,0.727,0.149,"'It's not rocket science darling. We’re just asking you to be thin and curvy, sexy and innocent!’

Acting auditions… https://t.co/EtW7o6NppW",18,@BBC
0.0,Thu Aug 09 14:02:06 +0000 2018,0.0,1.0,0.0,"🤔😂 How did Shakespeare invent all those clichés? And how can he be stopped?! 
#BookLoversDay https://t.co/sCmnhZiv4G",19,@BBC
0.4939,Thu Aug 09 13:01:04 +0000 2018,0.0,0.862,0.138,"🤘 Think you're too old for moshing? 

Spare a thought for the two elderly men who escaped a German care home and we… https://t.co/G3D6xPG9Az",20,@BBC
0.3612,Thu Aug 09 12:02:04 +0000 2018,0.0,0.783,0.217,Imagine what life would be like without fossil fuels. https://t.co/yxpDahGwms,21,@BBC
0.0,Thu Aug 09 11:01:07 +0000 2018,0.0,1.0,0.0,"🥗 Thinking of going vegetarian?

Here are a few facts and nutritional tips to get you started.
👉… https://t.co/P4ycKKb7t5",22,@BBC
0.5859,Thu Aug 09 10:21:23 +0000 2018,0.0,0.847,0.153,"RT @bbcnewcomedy18: Meet the acts taking part in our LIVE final, this Sunday at 6.15pm on @BBCRadio4, hosted by the brilliant @watsoncomedi…",23,@BBC
0.0,Thu Aug 09 09:50:32 +0000 2018,0.0,1.0,0.0,"📚 Ever fancied running your own bookshop? 
#BookLoversDay https://t.co/vCRAppVsZv",24,@BBC
-0.4767,Thu Aug 09 09:19:37 +0000 2018,0.205,0.795,0.0,"📖😭 David Thewlis's dramatic reading of #HarryPotter will make you cry. 
#BookLoversDay https://t.co/B38aew9Bv3",25,@BBC
0.6696,Thu Aug 09 09:14:49 +0000 2018,0.0,0.83,0.17,"RT @BBCR1: What an incredible six years it's been!

Here's a handful of the best bits from The Radio 1 Breakfast Show with @grimmers - than…",26,@BBC
0.0,Thu Aug 09 09:03:04 +0000 2018,0.0,1.0,0.0,RT @BBCFOUR: Did you start reading with Ladybird books? Which one was your favourite? 🐞 #BookLoversDay https://t.co/eyne318ZQ6,27,@BBC
-0.296,Thu Aug 09 08:01:04 +0000 2018,0.355,0.645,0.0,No animal deserves this 😔 https://t.co/CrOeon80ZD,28,@BBC
0.2023,Thu Aug 09 07:30:12 +0000 2018,0.138,0.65,0.211,"🐌 Created from the desiccated glands of sea snails, the colour purple has some pretty disgusting origins. 

👑 How d… https://t.co/BdoXM4gvkJ",29,@BBC
0.0,Thu Aug 09 07:01:06 +0000 2018,0.0,1.0,0.0,"📱 ≠ 📸
Why mobile phone photos will never be 'real' photography. https://t.co/Vq01xjavlh",30,@BBC
0.0,Wed Aug 08 18:01:03 +0000 2018,0.0,1.0,0.0,"😨🦖 Imagine coming face to face with this giant animatronic dinosaur! 
#WalkingWithDinosaurs https://t.co/cL5z3xQTwc",31,@BBC
0.0,Wed Aug 08 17:31:05 +0000 2018,0.0,1.0,0.0,"""Literally two days before, I was sitting in the middle of the staff room putting the battery in the defibrillator.… https://t.co/Ly6SrStA8c",32,@BBC
0.5859,Wed Aug 08 16:04:07 +0000 2018,0.0,0.758,0.242,❤️ This mum wrote an emotional poem about caring for her daughter with mental health issues. https://t.co/wMi9iBZY47,33,@BBC
0.4404,Wed Aug 08 13:03:04 +0000 2018,0.0,0.854,0.146,"More women than ever are ditching the pill and condoms in favour of ""long-acting reversible contraceptives"", includ… https://t.co/l5wi0DBz4t",34,@BBC
0.0,Wed Aug 08 12:11:04 +0000 2018,0.0,1.0,0.0,"RT @BBCOne: We all have to choose sides. 

@Misskeeleyhawes and @_richardmadden star in #Bodyguard, a new drama from Line of Duty writer @j…",35,@BBC
0.0,Wed Aug 08 12:00:21 +0000 2018,0.0,1.0,0.0,☕️ The debate that has plagued us all for years... https://t.co/uXD5FKliP9,36,@BBC
0.8779,Wed Aug 08 11:21:04 +0000 2018,0.0,0.627,0.373,"🏝🍹☀️ How to win at holidays.
Travel experts tell us how to hack your way to beachside bliss.
👉… https://t.co/iSrzbdv2QY",37,@BBC
0.3612,Wed Aug 08 10:58:41 +0000 2018,0.0,0.839,0.161,RT @BBCBreakfast: Vicki is incredible. We should all have an outlook like Vicki. 👏 https://t.co/UNMB6p5hTD,38,@BBC
-0.4118,Wed Aug 08 10:41:47 +0000 2018,0.133,0.867,0.0,"🔥🌪 Firefighters have captured footage of this fire tornado - or ""firenado"". 
 It happens when winds mix with smoke… https://t.co/GMM9hUCXlZ",39,@BBC
0.0,Wed Aug 08 10:02:06 +0000 2018,0.0,1.0,0.0,"💦😺This is Maya the jaguar's very first swim! 
#InternationalCatDay https://t.co/IacZP3ltf3",40,@BBC
0.8555,Wed Aug 08 09:44:56 +0000 2018,0.0,0.657,0.343,"RT @bbcstories: ""They deserve to be happy"" 

This is what it’s like to care for a child with mental health issues. https://t.co/7eaD5eQX5p",41,@BBC
0.0,Wed Aug 08 09:38:23 +0000 2018,0.0,1.0,0.0,RT @BBCTheOneShow: Hayley Atwell’s ventriloquist skills are next level! 😱 https://t.co/4MfoyraHyr,42,@BBC
0.0,Wed Aug 08 09:37:13 +0000 2018,0.0,1.0,0.0,RT @BBCTheOneShow: That awks moment when Hayley Atwell used her gym bra for a hanky on stage. 🎭😳 https://t.co/L6KH4RZ2I1,43,@BBC
0.0,Wed Aug 08 09:04:34 +0000 2018,0.0,1.0,0.0,"😼 Africa's smallest cat is also the world's deadliest. 
#InternationalCatDay https://t.co/DP9KPy0oMp",44,@BBC
0.4404,Wed Aug 08 09:01:33 +0000 2018,0.0,0.873,0.127,"RT @cbbc: The final series of ChuckleVision is now available on @BBCiPlayer: https://t.co/snbrqrxH4R

From us, to you 💛

Thanks for all the…",45,@BBC
0.0,Wed Aug 08 08:02:04 +0000 2018,0.0,1.0,0.0,"Painting a different picture of homelessness. 
(via @BBCThree) https://t.co/hPeSJggWDe",46,@BBC
0.2724,Wed Aug 08 07:27:05 +0000 2018,0.0,0.901,0.099,New research has found that some of us are especially good judges of character... but only in specific circumstance… https://t.co/2xkNx7VRBZ,47,@BBC
0.5267,Wed Aug 08 07:00:01 +0000 2018,0.073,0.73,0.197,"Each year in the UK, the number of plastic straws from fast food meals alone could stretch the Great Wall of China’… https://t.co/zd4RMEF1PD",48,@BBC
0.0,Tue Aug 07 19:02:03 +0000 2018,0.0,1.0,0.0,"Scientists reveal the wonders of Jupiter, using information from @NASA's Juno mission. 🚀✨

Horizon: Jupiter Reveale… https://t.co/yZ0UQjp82Q",49,@BBC
-0.3612,Tue Aug 07 18:02:05 +0000 2018,0.215,0.639,0.146,Ever wondered if your teeny tiny adorable cat is actually trying to kill you? 🤷‍♀️😼 https://t.co/FyonKEdYPp,50,@BBC
0.0,Tue Aug 07 17:31:06 +0000 2018,0.0,1.0,0.0,These dog cakes are unsettlingly realistic... 🐶😲 https://t.co/pZNff7c1em https://t.co/6RJs6kXkBK,51,@BBC
0.0,Tue Aug 07 16:00:01 +0000 2018,0.0,1.0,0.0,"😍 The geometric patterns of Jupiter's polar storms are incredible. 

#Horizon: Jupiter Revealed | 9pm | @BBCTwo https://t.co/vFNTJEclKU",52,@BBC
0.0,Tue Aug 07 14:00:07 +0000 2018,0.0,1.0,0.0,"📚 Your SQA results day survival guide. 
👉 https://t.co/z1W70i38kd

#ExamResults https://t.co/3z6vvCxRQl",53,@BBC
0.2263,Tue Aug 07 13:01:06 +0000 2018,0.0,0.909,0.091,"Under a new system called ""Max's Law"", adults in England will be presumed to consent to donating their organs unles… https://t.co/vmZT9tQuh9",54,@BBC
0.0,Tue Aug 07 12:03:04 +0000 2018,0.0,1.0,0.0,"""I'm the first Somali male model in Finland""

Zakarie Ali moved to Finland aged 3. Now, he's using his modelling ca… https://t.co/QLpaLnM4t9",55,@BBC
0.3291,Tue Aug 07 11:02:04 +0000 2018,0.0,0.865,0.135,"Everyone loves fried potato, but can Belgium claim ownership of the French fry?  🇧🇪🍟🇫🇷
 https://t.co/zllgYOw5Vb https://t.co/kJmiu0ZFWo",56,@BBC
0.1255,Tue Aug 07 08:03:02 +0000 2018,0.089,0.801,0.11,"""If it was your family then you wouldn't like it"". 💔🐘

Meet the schoolgirl who wants to protect endangered elephant… https://t.co/z6RtcX2FFu",57,@BBC
0.3612,Tue Aug 07 07:31:07 +0000 2018,0.0,0.894,0.106,"Do you recycle yoghurt pots and ready meal trays? 🗑♻️

It's emerged that most of the plastic food containers that w… https://t.co/Rr4S2SwdQf",58,@BBC
0.0,Tue Aug 07 07:01:05 +0000 2018,0.0,1.0,0.0,"✏️ This is what happened when body activists @SofieHagen and @theslumflower drew each other... 

https://t.co/I1Xh3q8KSz",59,@BBC
-0.128,Mon Aug 06 19:03:02 +0000 2018,0.164,0.697,0.139,"Tonight, @kdbrundell uncovers the true story of Elizabethan children kidnapped for the stage. 

Abducted - Elizabet… https://t.co/uTxBUH4iGV",60,@BBC
0.3612,Mon Aug 06 18:01:05 +0000 2018,0.148,0.604,0.248,"""No chain... he is free.""

🐻 A heartrending story with a happy ending. https://t.co/0YjmUMBJGg",61,@BBC
0.6696,Mon Aug 06 17:38:11 +0000 2018,0.0,0.743,0.257,RT @BBCTwo: Raise a goblet to the best of the inimitable #MonChevy! ❤️🇫🇷 #Versailles https://t.co/fcY91r5O3y,62,@BBC
0.2144,Mon Aug 06 16:03:06 +0000 2018,0.0,0.919,0.081,"Kyle dreams of being a hairdresser but one of his hands didn't develop properly in the womb. 

✂️ Can Judge from Th… https://t.co/tVRHz1Ayjl",63,@BBC
0.1027,Mon Aug 06 15:05:06 +0000 2018,0.113,0.755,0.132,"These lucky seals have avoided becoming an orca meal by crowding onto a rock in Pentland Firth, Scotland. https://t.co/hjlBOJ64li",64,@BBC
0.6249,Mon Aug 06 12:59:07 +0000 2018,0.0,0.76,0.24,"😍🐴 Donkeys are wearing snazzy trousers and we think they look great.
👉 https://t.co/ywGVbx8ELc https://t.co/2KErCznfT8",65,@BBC
0.0,Mon Aug 06 12:01:07 +0000 2018,0.0,1.0,0.0,"🦀 When it comes to boxing crabs, the gloves are off!
#AnimalsBehavingBadly https://t.co/vvJ2M41s8e",66,@BBC
0.0258,Mon Aug 06 11:41:08 +0000 2018,0.0,0.958,0.042,RT @BBCBreakfast: Jake is one of only ten Brits to reach the summit of the world's second highest mountain... Check out what he did when he…,67,@BBC
0.4753,Mon Aug 06 11:21:55 +0000 2018,0.102,0.693,0.204,"RT @bbc5live: Meet Mojo!
 
The first police dog on the scene of the Manchester Arena attack has been awarded for his bravery.
 
Now, after…",68,@BBC
-0.4215,Mon Aug 06 11:02:04 +0000 2018,0.123,0.877,0.0,👰 An American woman has spoken of her dismay after being sacked from her role as bridesmaid prompting others to sha… https://t.co/FGpnAof79D,69,@BBC
0.0,Mon Aug 06 10:29:46 +0000 2018,0.0,1.0,0.0,RT @bbcarts: Art detectives Fiona Bruce and @philipmould are back! #FakeorFortune returns to @BBCOne on Sunday 12 August. https://t.co/ukM4…,70,@BBC
-0.128,Mon Aug 06 08:00:14 +0000 2018,0.185,0.662,0.152,The amount of plastic waste in the Pacific Ocean is huge. https://t.co/JUYaXXTmX3,71,@BBC
0.0,Mon Aug 06 07:27:03 +0000 2018,0.0,1.0,0.0,"Six in 10 kidney donors are women – but some 6 in 10 recipients are men. 

This may have health consequences for bo… https://t.co/sdVCZ4wQFL",72,@BBC
0.0,Mon Aug 06 07:00:08 +0000 2018,0.0,1.0,0.0,"🍓❤️ Strawberry Fields Forever.

This former children's home will become a training hub for young people with disabi… https://t.co/SOJqX9c2ac",73,@BBC
0.5106,Sun Aug 05 19:03:06 +0000 2018,0.0,0.602,0.398,🙌 @SethMacFarlane is one talented guy. https://t.co/TrFj6ZN1VV,74,@BBC
0.8126,Sun Aug 05 18:16:03 +0000 2018,0.0,0.625,0.375,"Based on a true heartwarming story, starring Meryl Streep and Hugh Grant. 

Florence Foster Jenkins | 8:15pm |… https://t.co/312zYQaCZE",75,@BBC
0.0,Sun Aug 05 17:03:06 +0000 2018,0.0,1.0,0.0,🤖 We’re at the point where AI can take on mundane household tasks – if slowly. And the implications of this technol… https://t.co/3ZMBwEJa7d,76,@BBC
-0.1027,Sun Aug 05 16:01:07 +0000 2018,0.123,0.877,0.0,"How can someone work, pay taxes and still be homeless? https://t.co/rCpmM5ybZl",77,@BBC
0.0,Sun Aug 05 15:01:04 +0000 2018,0.0,1.0,0.0,"Standing out without standing up. 
(via @BBCThree) https://t.co/Aj7NXlFAq2",78,@BBC
0.4588,Sun Aug 05 14:07:06 +0000 2018,0.0,0.75,0.25,😲 Add Vietnam's breathtaking Golden Bridge to your bucket list. https://t.co/ZOQGb7LvZ4,79,@BBC
0.0,Sun Aug 05 13:02:03 +0000 2018,0.0,1.0,0.0,🔭 The black hole at the centre of our galaxy has helped astronomers confirm a key prediction of Albert Einstein's i… https://t.co/2K8gIbAFQf,80,@BBC
-0.6597,Sun Aug 05 12:01:08 +0000 2018,0.216,0.784,0.0,"🍽 Are online bookings killing restaurants?

According to some estimates, 'no-shows' account for 5-20% of total rest… https://t.co/PLU5VzHVIV",81,@BBC
0.0,Sun Aug 05 11:04:07 +0000 2018,0.0,1.0,0.0,"BLOOPERS! 
@ProfBrianCox can't tell his hominins from his hominids. Or possibly the other way around. https://t.co/tMtcUiyfED",82,@BBC
0.6486,Sun Aug 05 10:33:07 +0000 2018,0.0,0.629,0.371,"RT @bbccomedy: RIP dear Barry Chuckle. Here's to you. ❤️

https://t.co/rSwjoRcPAZ",83,@BBC
0.128,Sun Aug 05 10:14:22 +0000 2018,0.204,0.543,0.252,"Barry Chuckle, one half of the comedy duo the Chuckle Brothers, has died aged 73 after a short period of ill health… https://t.co/bsG0GOtdTJ",84,@BBC
0.0,Sun Aug 05 10:06:03 +0000 2018,0.0,1.0,0.0,📖👀 Meet the boy who has written a book with his eyes. https://t.co/j7TmFadeQk,85,@BBC
0.6124,Sun Aug 05 09:02:05 +0000 2018,0.0,0.739,0.261,"📚 From a novel within a novel to a surreal thriller set in Cuba, here are 10 books to read in August.
👉… https://t.co/4RaFMSpIUN",86,@BBC
0.5994,Sun Aug 05 08:03:03 +0000 2018,0.0,0.782,0.218,🤸 Christine Van Loo is an acro-gymnastics champion who has choreographed routines for Britney Spears. https://t.co/RlBwN5AnNZ,87,@BBC
0.0,Sun Aug 05 07:02:03 +0000 2018,0.0,1.0,0.0,"☀️🏝 New to #DesertIslandDiscs? 

Here’s where to start…
👉 https://t.co/UrrPpwbdV9 https://t.co/ufjJJaY28m",88,@BBC
0.5562,Sat Aug 04 19:06:08 +0000 2018,0.0,0.736,0.264,"Now this is an impressive line-up!

Watch #LeadingLadyParts on @BBCiPlayer https://t.co/CLzcEFNtYl",89,@BBC
0.5106,Sat Aug 04 18:10:03 +0000 2018,0.0,0.809,0.191,"Gin and tonic are a match made in heaven. 
So, how did they come together? https://t.co/9fXOpnWpgZ",90,@BBC
0.0,Sat Aug 04 17:03:07 +0000 2018,0.0,1.0,0.0,"When online fandom becomes toxic.
👉 https://t.co/qccSNcTi0l https://t.co/j6dJARWqBA",91,@BBC
-0.4215,Sat Aug 04 16:07:05 +0000 2018,0.135,0.865,0.0,"♻️🗑 Ever thought about where the waste you produce ends up after you get rid of it? 
#NoWasteMan https://t.co/axNWRfISmH",92,@BBC
0.5106,Sat Aug 04 15:05:06 +0000 2018,0.0,0.829,0.171,"📸 The face behind a stock image. 

How one woman unwittingly gave away her face for free. 
👉 https://t.co/LGZo1FHl5U https://t.co/fNmn2nkfDD",93,@BBC
0.5697,Sat Aug 04 14:06:06 +0000 2018,0.184,0.433,0.383,"The pika is most definitely the world's cutest thief!
#AnimalsBehavingBadly https://t.co/v8dSKoVYgD",94,@BBC
0.0,Sat Aug 04 13:19:26 +0000 2018,0.0,1.0,0.0,RT @bbcthree: Painting a different picture of homelessness. https://t.co/xQnRSb9FYE,95,@BBC
0.5719,Sat Aug 04 13:19:04 +0000 2018,0.0,0.748,0.252,"RT @BBCWorld: #ThaiCaveRescue: Boys and rescuers celebrated in art 🐗💙

https://t.co/O34VRnrC9y https://t.co/r2X4Gx7YEB",96,@BBC
0.0,Sat Aug 04 13:04:05 +0000 2018,0.0,1.0,0.0,✊ Cindy Whitehead was one of the first female pro skateboarders in the 70s riding vertical inclines. https://t.co/8x58hjAuQd,97,@BBC
0.34,Sat Aug 04 12:10:17 +0000 2018,0.0,0.745,0.255,RT @BBCNewsNI: The history of Belfast Pride. https://t.co/WGLq9rDRmB,98,@BBC
-0.4588,Sat Aug 04 12:05:02 +0000 2018,0.364,0.636,0.0,"Retroactive jealousy: Obsessed with my partner’s past.
👉 https://t.co/9fx6yhDCOL https://t.co/lUZSCbGG3L",99,@BBC
0.0,Fri Aug 10 19:59:14 +0000 2018,0.0,1.0,0.0,"RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…",0,@CBS
0.6696,Thu Aug 09 21:00:00 +0000 2018,0.0,0.745,0.255,Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT,1,@CBS
0.7901,Thu Aug 09 18:47:00 +0000 2018,0.0,0.72,0.28,Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD,2,@CBS
0.6696,Wed Aug 08 16:05:11 +0000 2018,0.0,0.791,0.209,"Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u",3,@CBS
0.0,Tue Aug 07 16:06:57 +0000 2018,0.0,1.0,0.0,The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs,4,@CBS
0.3612,Mon Aug 06 00:20:55 +0000 2018,0.0,0.889,0.111,"RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…",5,@CBS
0.5411,Mon Aug 06 00:07:38 +0000 2018,0.098,0.683,0.219,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,6,@CBS
0.3818,Mon Aug 06 00:02:58 +0000 2018,0.0,0.894,0.106,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,7,@CBS
0.5093,Mon Aug 06 00:02:02 +0000 2018,0.0,0.845,0.155,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,8,@CBS
0.0,Sun Aug 05 23:58:41 +0000 2018,0.0,1.0,0.0,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",9,@CBS
0.8316,Sun Aug 05 23:44:39 +0000 2018,0.0,0.694,0.306,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",10,@CBS
0.0,Sun Aug 05 23:41:21 +0000 2018,0.0,1.0,0.0,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",11,@CBS
0.5994,Sun Aug 05 23:35:49 +0000 2018,0.0,0.843,0.157,"RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",12,@CBS
0.0,Sun Aug 05 23:35:46 +0000 2018,0.0,1.0,0.0,RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,13,@CBS
0.5826,Sun Aug 05 23:16:25 +0000 2018,0.0,0.827,0.173,RT @happytogether: Thanks for following along! That concludes the #HappyTogether panel at the #CBS #TCA2018! @MagnumPICBS is up next!,14,@CBS
-0.5093,Sun Aug 05 23:12:39 +0000 2018,0.202,0.798,0.0,"RT @happytogether: Question: Even though you're not playing @Harry_Styles, did you do a Harry crash course?
@itsfelixwot: Absolutely not. C…",15,@CBS
0.0,Sun Aug 05 23:10:20 +0000 2018,0.0,1.0,0.0,"RT @happytogether: ""The show is about marriage, it's about getting a bit older, it's about youthfulness, it's about something happening and…",16,@CBS
0.6041,Sun Aug 05 23:05:58 +0000 2018,0.0,0.775,0.225,"RT @happytogether: ""It's always good to have a little bit of truth in whatever you're making.""- @wayansjr 

#HappyTogether #CBS #TCA2018",17,@CBS
0.3802,Sun Aug 05 23:01:25 +0000 2018,0.0,0.853,0.147,"RT @happytogether: ""I thought I was still young and cool until I met @itsfelixwot!"" -@AmberoniStevens #HappyTogether #CBS #TCA2018",18,@CBS
-0.2057,Sun Aug 05 22:58:41 +0000 2018,0.083,0.917,0.0,"RT @happytogether: ""We never wanted to create a show where people think ""Oh, did @Harry_Styles do that?"" -@benwinston on emphasizing that #…",19,@CBS
0.0,Sun Aug 05 22:58:36 +0000 2018,0.0,1.0,0.0,RT @happytogether: .@wayansjr is quick to point out that the characters in #HappyTogether are fictional. #CBS #TCA2018,20,@CBS
-0.0572,Sun Aug 05 22:53:12 +0000 2018,0.064,0.936,0.0,"RT @happytogether: ""@Harry_Styles became part of the family. We didn't want him to move out."" -@benwinston #CBS #HappyTogether #TCA18",21,@CBS
-0.3612,Sun Aug 05 22:52:24 +0000 2018,0.121,0.82,0.059,"RT @happytogether: ""It's about Cooper who wants nothing but normality and a boring life, and Jake and Claire, who want more excitement."" -@…",22,@CBS
0.4939,Sun Aug 05 22:49:06 +0000 2018,0.0,0.862,0.138,"RT @happytogether: ""It's loosely inspired (by the time @Harry_Styles lived with @benwinston), because if we put what actually happened on t…",23,@CBS
0.0,Sun Aug 05 22:46:49 +0000 2018,0.0,1.0,0.0,RT @happytogether: It's time for the #HappyTogether panel at the #CBS #TCA18! Follow along here!,24,@CBS
0.4926,Sun Aug 05 22:32:37 +0000 2018,0.0,0.825,0.175,RT @GodFriendedMe: Thanks for following along during the #GodFriendedMe panel at #CBS #TCA18—@HappyTogether is up next!,25,@CBS
