Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.2732,Sun Aug 05 22:32:30 +0000 2018,0.0,0.877,0.123,"RT @GodFriendedMe: ""You don't have to believe in God to believe in good."" 🙌@JOEtheMORTON #GodFriendedMe #CBS",26,@CBS
0.2716,Sun Aug 05 22:16:36 +0000 2018,0.0,0.905,0.095,RT @GodFriendedMe: “It’s incredibly important to us that we’re not a show that’s preachy or judgmental. Whether you believe or don’t believ…,27,@CBS
-0.4973,Sun Aug 05 22:16:29 +0000 2018,0.133,0.867,0.0,"RT @GodFriendedMe: ""Our feet are on the ground. Our characters are not angels, they’re not heavenly, they’re just real people. The 'opposin…",28,@CBS
0.0,Sun Aug 05 22:16:19 +0000 2018,0.0,1.0,0.0,RT @GodFriendedMe: Follow along with us as we live-tweet the #GodFriendedMe panel at #CBS #TCA18 with stars @hall_m_brandon @violettbeane @…,29,@CBS
-0.4019,Sun Aug 05 22:05:44 +0000 2018,0.114,0.886,0.0,"RT @cbsallaccess: From the writer of Scream, The Vampire Diaries and The Following, comes a modern day twist on classic fairy tales. 

#Tel…",30,@CBS
-0.6908,Sun Aug 05 22:00:47 +0000 2018,0.207,0.793,0.0,"RT @cbsallaccess: Small town. Big murder. Follow the Money. 

#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/T…",31,@CBS
0.0,Sun Aug 05 21:48:41 +0000 2018,0.0,1.0,0.0,RT @cbsallaccess: That's a wrap on the #TellMeAStory panel! @GodFriendedMe is up next! #TCA18 #CBSAllAccess,32,@CBS
0.8555,Sun Aug 05 21:48:36 +0000 2018,0.0,0.714,0.286,"RT @cbsallaccess: ""What I love about New York City - besides being the best city in the world - it's textural, it's real, it has everything…",33,@CBS
0.5994,Sun Aug 05 21:48:29 +0000 2018,0.0,0.766,0.234,RT @cbsallaccess: Who's ready to see @KimCattrall play @daniellemcam's (AKA Little Red Riding Hood) grandmother? #TellMeAStory #TCA18 #CBSA…,34,@CBS
0.6124,Sun Aug 05 21:31:15 +0000 2018,0.0,0.792,0.208,"RT @cbsallaccess: ""What I like about this show is that there's nothing else on TV like it right now."" -@kevwilliamson #TellMeAStory #TCA18…",35,@CBS
-0.2748,Sun Aug 05 20:58:52 +0000 2018,0.153,0.742,0.105,"RT @MurphyBrownCBS: According to Candice Bergen and Diane English, there's never been a more perfect time to revive #MurphyBrown! https://t…",36,@CBS
0.0,Sun Aug 05 20:56:17 +0000 2018,0.0,1.0,0.0,"RT @MurphyBrownCBS: #MurphyBrown has always been a political show, and that won't change! Read on about how the show plans to cover hot top…",37,@CBS
-0.4588,Sun Aug 05 20:10:33 +0000 2018,0.125,0.875,0.0,"RT @FBICBS: ""People are going to get a very realistic view of how that office operates and the stresses. It's a zero-tolerance FBI office.…",38,@CBS
0.0,Sun Aug 05 19:43:38 +0000 2018,0.0,1.0,0.0,Stay tuned for more #CBS #TCA18 action! The @cbsallaccess panel is up next. 👍🏼 https://t.co/fcjiEwpaN0,39,@CBS
0.0,Sun Aug 05 19:22:22 +0000 2018,0.0,1.0,0.0,"RT @FBICBS: #FBIFam, this should cure your #SundayScaries! Check out the #FBI preview that was shown at the #CBS #TCA18 before the panel. h…",40,@CBS
0.6249,Sun Aug 05 19:21:28 +0000 2018,0.0,0.796,0.204,"RT @TheNeighborhood: ""Once we shot the pilot, we knew that we had a great show."" -@CedEntertainer #TheNeighborhood #CBS",41,@CBS
0.1384,Sun Aug 05 19:16:45 +0000 2018,0.079,0.823,0.098,"RT @TheNeighborhood: ""It was so well done, as far as I was concerned, that it became a no brainer to do the show. I called the next morning…",42,@CBS
0.0,Sun Aug 05 19:15:53 +0000 2018,0.0,1.0,0.0,"RT @TheNeighborhood: ""This is a show about people. This is a show about families, neighbors, friendships... At its core, this is a show abo…",43,@CBS
0.4588,Sun Aug 05 18:54:24 +0000 2018,0.0,0.818,0.182,"RT @TheNeighborhood: We're here at the #CBS #TCA18 giving you the inside scoop on #TheNeighborhood with our stars @CedEntertainer, @Tichina…",44,@CBS
0.0,Sun Aug 05 18:01:09 +0000 2018,0.0,1.0,0.0,RT @MurphyBrownCBS: That's a wrap on the #MurphyBrown panel at #TCA18! @TheNeighborhood is up next! #CBS,45,@CBS
0.0,Sun Aug 05 17:55:07 +0000 2018,0.0,1.0,0.0,"RT @MurphyBrownCBS: Diane English reveals ""We have an enormously famous person in our first episode,"" but keeps the secret under wraps! 🙊 #…",46,@CBS
0.0,Sun Aug 05 17:51:13 +0000 2018,0.0,1.0,0.0,"RT @MurphyBrownCBS: Diane English talks about how to stay topically relevant while writing scripts ahead of time &amp; also said, ""We have an i…",47,@CBS
0.0,Sun Aug 05 17:47:01 +0000 2018,0.0,1.0,0.0,RT @MurphyBrownCBS: All the feels! ❤️ #MurphyBrown returns to #CBS this fall! https://t.co/OvQk3CV49W,48,@CBS
-0.0018,Sun Aug 05 17:39:48 +0000 2018,0.074,0.853,0.073,"RT @MurphyBrownCBS: ""It's been very emotional for the old guys... We saw Murphy's townhouse and we all got tears in our eyes."" -Candice Ber…",49,@CBS
0.0,Sun Aug 05 17:28:37 +0000 2018,0.0,1.0,0.0,"Stay tuned, because @MurphyBrownCBS is up next at the #CBS #TCA18! https://t.co/0qdjQiFrwW",50,@CBS
-0.0602,Sun Aug 05 17:28:03 +0000 2018,0.219,0.599,0.182,"RT @FBICBS: “Even though I was scared to say yes, it was so clear you don’t say no. I knew I couldn’t say no. I couldn’t be more grateful,…",51,@CBS
0.1761,Sun Aug 05 17:27:46 +0000 2018,0.105,0.735,0.16,"RT @FBICBS: What's it like for @JeremySisto coming back to a Dick Wolf show?

""It's one of the most stable ships you can be on... It's exci…",52,@CBS
0.1027,Sun Aug 05 17:27:41 +0000 2018,0.11,0.767,0.123,"RT @FBICBS: ""We're celebrating the troops on the ground... There are endless stories in there."" - Dick Wolf on why he wanted to focus the s…",53,@CBS
0.0498,Sun Aug 05 17:27:31 +0000 2018,0.123,0.746,0.13,"RT @FBICBS: “It’s really exciting to be here for the first time in a long, long, long, long time.” - Dick Wolf #CBS #TCA18",54,@CBS
0.6114,Sun Aug 05 14:47:12 +0000 2018,0.0,0.818,0.182,Celebrate #NationalSistersDay with an iconic group of sisters! Watch how these three became part of The Brady Bunch… https://t.co/nBVjxl4AbP,55,@CBS
0.2263,Sat Aug 04 22:57:37 +0000 2018,0.0,0.917,0.083,RT @startrekcbs: Executive Producer Alex Kurtzman and @SirPatStew surprised fans today at #STLV with news that he will be returning to the…,56,@CBS
0.0,Sat Aug 04 00:24:55 +0000 2018,0.0,1.0,0.0,Watching a 💯 spin on @PriceIsRight never gets old…especially when it’s Mila Kunis! https://t.co/NPOukc3jPz,57,@CBS
0.6124,Fri Aug 03 22:34:08 +0000 2018,0.0,0.76,0.24,"RT @TrueCrimeCBS: The chances of successfully blowing the whistle are slim, but did a Wells Fargo personal banker beat the odds?

Find out…",58,@CBS
0.9098,Tue Jul 31 21:02:33 +0000 2018,0.0,0.531,0.469,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5,59,@CBS
0.34,Sat Jul 28 16:43:56 +0000 2018,0.0,0.876,0.124,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",60,@CBS
0.5707,Wed Jul 25 17:25:36 +0000 2018,0.0,0.813,0.187,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",61,@CBS
0.0,Wed Jul 25 15:12:31 +0000 2018,0.0,1.0,0.0,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",62,@CBS
0.34,Wed Jul 25 01:05:03 +0000 2018,0.0,0.882,0.118,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,63,@CBS
-0.1511,Tue Jul 24 18:54:14 +0000 2018,0.099,0.834,0.068,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",64,@CBS
0.8293,Mon Jul 23 21:30:33 +0000 2018,0.0,0.66,0.34,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,65,@CBS
0.128,Sun Jul 22 01:56:13 +0000 2018,0.0,0.927,0.073,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,66,@CBS
-0.296,Sat Jul 21 00:55:28 +0000 2018,0.109,0.891,0.0,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,67,@CBS
-0.296,Sat Jul 21 00:19:12 +0000 2018,0.109,0.891,0.0,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,68,@CBS
-0.7964,Sat Jul 21 00:10:00 +0000 2018,0.264,0.736,0.0,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",69,@CBS
-0.6597,Fri Jul 20 23:44:54 +0000 2018,0.18,0.82,0.0,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,70,@CBS
0.3182,Fri Jul 20 22:29:36 +0000 2018,0.0,0.905,0.095,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",71,@CBS
0.0,Fri Jul 20 21:39:09 +0000 2018,0.0,1.0,0.0,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,72,@CBS
0.0,Fri Jul 20 15:08:23 +0000 2018,0.0,1.0,0.0,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",73,@CBS
0.0,Tue Jul 17 17:55:25 +0000 2018,0.0,1.0,0.0,🤰👩‍👧🚫🍸 #WorldEmojiDay,74,@CBS
0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,👨📝✔️ #WorldEmojiDay,75,@CBS
0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,👩‍💼💼🇺🇸 #WorldEmojiDay,76,@CBS
0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,🕵️🕵️‍♀️ #WorldEmojiDay,77,@CBS
0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,⚓️🦅🇺🇸 #WorldEmojiDay,78,@CBS
0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,🏄🌴🚔 #WorldEmojiDay,79,@CBS
0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,💙👮🍽 #WorldEmojiDay,80,@CBS
0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,💣📎 #WorldEmojiDay,81,@CBS
0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,🌎☄️ #WorldEmojiDay,82,@CBS
0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,🏷💰🎰 #WorldEmojiDay,83,@CBS
0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,👶😴🚫 #WorldEmojiDay,84,@CBS
0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,🤝💼💰 #WorldEmojiDay,85,@CBS
0.0,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,💄👠📷 #WorldEmojiDay,86,@CBS
0.0,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,🏝🔥💵 #WorldEmojiDay,87,@CBS
0.0,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,🐮⚖️ #WorldEmojiDay,88,@CBS
0.0,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,🏠📹📹📹 #WorldEmojiDay,89,@CBS
0.0,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,👶💥🌎🔬 #WorldEmojiDay,90,@CBS
0.0,Tue Jul 17 17:22:26 +0000 2018,0.0,1.0,0.0,💥🌎🔬 #WorldEmojiDay,91,@CBS
0.807,Tue Jul 17 17:22:26 +0000 2018,0.0,0.7,0.3,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,92,@CBS
0.1139,Fri Jul 13 21:35:01 +0000 2018,0.0,0.922,0.078,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",93,@CBS
-0.4404,Fri Jul 13 21:15:41 +0000 2018,0.132,0.868,0.0,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",94,@CBS
0.0,Fri Jul 13 17:49:38 +0000 2018,0.0,1.0,0.0,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,95,@CBS
0.6514,Thu Jul 12 01:01:24 +0000 2018,0.0,0.718,0.282,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,96,@CBS
0.5562,Wed Jul 11 21:44:45 +0000 2018,0.0,0.826,0.174,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",97,@CBS
0.5411,Wed Jul 11 19:09:34 +0000 2018,0.0,0.857,0.143,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",98,@CBS
0.0,Mon Jul 09 23:55:07 +0000 2018,0.0,1.0,0.0,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,99,@CBS
0.0,Fri Aug 10 20:03:07 +0000 2018,0.0,1.0,0.0,NASA's first mission to the sun launches Saturday https://t.co/g9DBRFhhNT https://t.co/bCi89mmPKv,0,@CNN
0.1779,Fri Aug 10 19:53:04 +0000 2018,0.0,0.918,0.082,Amazon is launching a new feature for its cloud business that allows companies to quickly add capacity to their app… https://t.co/rb7WtTa0oe,1,@CNN
0.3818,Fri Aug 10 19:43:06 +0000 2018,0.0,0.867,0.133,Education Secretary Betsy DeVos is rolling back another Obama-era regulation that was meant to protect students fro… https://t.co/K7Sp9gbUeQ,2,@CNN
0.4019,Fri Aug 10 19:30:31 +0000 2018,0.0,0.856,0.144,"Special counsel Robert Mueller has subpoenaed Randy Credico, who Roger Stone says was his WikiLeaks back-channel… https://t.co/KcJ0vENWGx",3,@CNN
-0.3818,Fri Aug 10 19:12:02 +0000 2018,0.175,0.825,0.0,"Two women who worked at Nike have filed a lawsuit accusing the company of systemic gender discrimination, saying ""w… https://t.co/MfU7NaSoGK",4,@CNN
0.0,Fri Aug 10 19:04:39 +0000 2018,0.0,1.0,0.0,The Trump administration outlines a plan to reunite migrant children who were separated from their families with pa… https://t.co/MaWNsVY1hJ,5,@CNN
0.0,Fri Aug 10 18:48:50 +0000 2018,0.0,1.0,0.0,"Kanye West opened up about fashion, mental health and President Trump on ""Jimmy Kimmel Live!""… https://t.co/fHB1iPkBGU",6,@CNN
0.0,Fri Aug 10 18:46:00 +0000 2018,0.0,1.0,0.0,You may think of the Antarctic as pristine wilderness. Nope: It's already showing the effects of human activity tho… https://t.co/dX6jbqMUHH,7,@CNN
-0.5106,Fri Aug 10 18:36:48 +0000 2018,0.216,0.784,0.0,North Korea has rejected repeated US proposals on denuclearization in a diplomatic standoff https://t.co/W2b7AoNoVp,8,@CNN
-0.5984,Fri Aug 10 18:24:29 +0000 2018,0.196,0.804,0.0,This Caribbean island plans to completely ban common plastics and single-use Styrofoam cups and food containers—eff… https://t.co/RzxderbiSG,9,@CNN
0.3612,Fri Aug 10 18:11:55 +0000 2018,0.0,0.872,0.128,The Russian Embassy appeared to boldly troll the US in a tweet following the Trump administration's announcement of… https://t.co/SMrbX5IpmQ,10,@CNN
0.0,Fri Aug 10 18:00:28 +0000 2018,0.0,1.0,0.0,"Astrophysicist Eugene Parker, the pioneer behind NASA's mission to the sun, is the first living person to have a sp… https://t.co/Hy6DgOIW2q",11,@CNN
-0.802,Fri Aug 10 17:49:25 +0000 2018,0.265,0.735,0.0,"After a brutal attack on a Sikh man in California, a police chief is ""disgusted"" to learn that his own son is one o… https://t.co/Hp1g7TfjqP",12,@CNN
0.3612,Fri Aug 10 17:36:54 +0000 2018,0.0,0.828,0.172,An amateur fossil enthusiast stumbled upon rare 25-million-year-old teeth of mega-toothed shark… https://t.co/i8nzSbEvEh,13,@CNN
0.0,Fri Aug 10 17:30:01 +0000 2018,0.0,1.0,0.0,How residents of this small Rust Belt town are grappling with their Neo-Nazi neighbor https://t.co/ETAdd5D15s https://t.co/BhJ2UDxqBI,14,@CNN
0.0,Fri Aug 10 17:30:00 +0000 2018,0.0,1.0,0.0,A rare look inside the gigantic jet factory where Boeing has built its iconic aircraft for 50 years… https://t.co/gB0X3pqMkE,15,@CNN
0.0,Fri Aug 10 17:28:49 +0000 2018,0.0,1.0,0.0,"A Nigerian radio station has been fined for broadcasting ""vulgar lyrics"" in ""This is Nigeria,"" a viral cover of Chi… https://t.co/EpJtCS4tow",16,@CNN
-0.765,Fri Aug 10 17:20:33 +0000 2018,0.248,0.752,0.0,A dad and son in Alaska are accused of illegally killing a family of bears and covering it up. They didn't know a c… https://t.co/r7vJGe0Llj,17,@CNN
0.6908,Fri Aug 10 17:11:39 +0000 2018,0.0,0.749,0.251,"Celebrities are sharing their ""weight"" in a social media movement that encourages women to look beyond numbers on a… https://t.co/QFj3SZr0Z1",18,@CNN
0.0,Fri Aug 10 16:48:09 +0000 2018,0.0,1.0,0.0,"Buzz Aldrin calls the Trump administration's Space Force ""one giant leap in the right direction""… https://t.co/2AMFyUS0RR",19,@CNN
0.0,Fri Aug 10 16:36:19 +0000 2018,0.0,1.0,0.0,"After several delays, Nicki Minaj's ""Queen"" is finally out https://t.co/OspRaaDX92 https://t.co/bVTmwmJIuk",20,@CNN
-0.1779,Fri Aug 10 16:21:12 +0000 2018,0.116,0.884,0.0,"Michael Avenatti, in Iowa, says he's seriously considering running against President Trump https://t.co/UevAUNdf3N https://t.co/GUmjGfTYlj",21,@CNN
0.7906,Fri Aug 10 16:16:00 +0000 2018,0.0,0.741,0.259,"Ruth Bader Ginsburg was sworn in as a Supreme Court justice 25 years ago today, on Aug. 10, 1993. Ginsburg, who was… https://t.co/acTM4UzKxs",22,@CNN
0.0,Fri Aug 10 16:05:59 +0000 2018,0.0,1.0,0.0,"For the first time in Marine Corps history, a woman is in charge of an infantry platoon https://t.co/Cv6rCYSFTc https://t.co/QXm6wrnFw1",23,@CNN
0.6458,Fri Aug 10 15:54:56 +0000 2018,0.0,0.726,0.274,"Twitter says Infowars hasn't ""violated our rules."" It looks like that's not the case. https://t.co/w3LVvaYa8W https://t.co/1rQFPOqunW",24,@CNN
0.0,Fri Aug 10 15:53:32 +0000 2018,0.0,1.0,0.0,RT @CNNPolitics: Manafort trial lawyers and judge held secretive meetings to start off Friday morning https://t.co/VBtPgoslzS https://t.co/…,25,@CNN
0.0,Fri Aug 10 15:41:50 +0000 2018,0.0,1.0,0.0,Remember Overstock? It's basically a crypto company now  https://t.co/Wli0PZMxlC https://t.co/uJpl17VlDP,26,@CNN
-0.802,Fri Aug 10 15:29:18 +0000 2018,0.286,0.714,0.0,"After a brutal attack on a Sikh man in California, the community's police chief is ""disgusted"" to learn that his ow… https://t.co/dimEVzgGD7",27,@CNN
-0.6705,Fri Aug 10 15:23:04 +0000 2018,0.29,0.71,0.0,2 police officers were among the 4 people killed in a Canada shooting Friday https://t.co/9n8uVCWrN8,28,@CNN
-0.6808,Fri Aug 10 15:16:36 +0000 2018,0.337,0.663,0.0,"At WeWork's corporate ""summer camp,"" there's no meat, no plastic straws, and no bottled water… https://t.co/lDIt46Z8hJ",29,@CNN
-0.3818,Fri Aug 10 15:03:10 +0000 2018,0.168,0.725,0.107,A Wisconsin teen wanted to auction off a pig for a cancer charity. Buyers kept returning it so he could sell it ove… https://t.co/Qc0EfqPtGW,30,@CNN
0.5859,Fri Aug 10 14:51:15 +0000 2018,0.0,0.725,0.275,Chipotle is trying to win customers back with bacon https://t.co/hu3sq0WUA9 https://t.co/HVIfW2g6cF,31,@CNN
0.1027,Fri Aug 10 14:48:00 +0000 2018,0.0,0.928,0.072,NASA's fully autonomous Parker Solar Probe will travel closer to the sun than any spacecraft has ever reached https://t.co/kyLbTvKqou,32,@CNN
0.0,Fri Aug 10 14:38:35 +0000 2018,0.0,1.0,0.0,Starbucks' new menu item: Kombucha https://t.co/uUQoera0EA https://t.co/5qMhvQgefU,33,@CNN
-0.4019,Fri Aug 10 14:26:21 +0000 2018,0.137,0.863,0.0,Trump vows to double steel and aluminum tariffs on Turkey amid escalating tensions between Washington and Ankara https://t.co/2jo8dpUumI,34,@CNN
-0.128,Fri Aug 10 14:14:00 +0000 2018,0.201,0.614,0.184,"""Crazy Rich Asians"" stars explain why the film should be allowed to fail: ""How many chances do white people get? ..… https://t.co/yo3LVYdzPA",35,@CNN
0.0,Fri Aug 10 14:01:37 +0000 2018,0.0,1.0,0.0,5 signs you were meant to work for yourself https://t.co/9ASNtIgF5X https://t.co/PW4Q9D0SlJ,36,@CNN
-0.296,Fri Aug 10 13:50:39 +0000 2018,0.167,0.833,0.0,"President Trump railed against NFL players who protested at Thursday's preseason games, accusing the players of bei… https://t.co/5a2FYy6M2Z",37,@CNN
0.6908,Fri Aug 10 13:42:06 +0000 2018,0.0,0.749,0.251,"Kristin Davis, also known as the ""Manhattan Madam,"" will testify before a grand jury in special counsel Robert Muel… https://t.co/K8QOgMTCCt",38,@CNN
0.0,Fri Aug 10 13:30:36 +0000 2018,0.0,1.0,0.0,Video games featuring Nazi symbols such as the swastika can now be sold in Germany uncensored after a regulatory bo… https://t.co/s1iaxPeVUI,39,@CNN
0.0,Fri Aug 10 13:18:54 +0000 2018,0.0,1.0,0.0,NASA's first mission to the sun launches Saturday https://t.co/2ncH1yMjnG https://t.co/h4Ar03FcC9,40,@CNN
0.0,Fri Aug 10 13:08:39 +0000 2018,0.0,1.0,0.0,"Melania Trump used visa opposed by her husband to get her parents' citizenship
https://t.co/bUOPFhuwYH https://t.co/iNWEN4vskZ",41,@CNN
-0.3612,Fri Aug 10 12:58:09 +0000 2018,0.135,0.865,0.0,"Social media filters mess with our perceptions so much, there's now a name for it:  ""Snapchat dysmorphia""… https://t.co/sgZ9TT0oAc",42,@CNN
-0.6124,Fri Aug 10 12:45:52 +0000 2018,0.238,0.762,0.0,"Firefighters continued to battle Southern California's Holy Fire, which has scorched more than 10,000 acres since i… https://t.co/Wis5vDFdog",43,@CNN
-0.5984,Fri Aug 10 12:33:13 +0000 2018,0.178,0.822,0.0,The Caribbean nation of Dominica plans to completely ban common plastics and single-use Styrofoam cups and food con… https://t.co/gkNKnmH5Ba,44,@CNN
0.5574,Fri Aug 10 12:22:55 +0000 2018,0.0,0.825,0.175,"Today, Ruth Bader Ginsburg marks the 25th anniversary of her judicial oath on the US Supreme Court… https://t.co/TevJionEof",45,@CNN
-0.296,Fri Aug 10 12:10:29 +0000 2018,0.115,0.885,0.0,"At least one person is missing and about 1,600 have evacuated because of flash floods in France… https://t.co/GRcXa9jRtP",46,@CNN
0.0,Fri Aug 10 11:58:07 +0000 2018,0.0,1.0,0.0,It's that time again when there's speculation that Idris Elba might be cast as James Bond https://t.co/4krJaZ8wEd https://t.co/cbgo0hmhPh,47,@CNN
0.4404,Fri Aug 10 11:46:29 +0000 2018,0.0,0.818,0.182,"President Trump's re-election team will sell ""Space Force"" merchandise to his supporters https://t.co/G5ApUJ8wRM https://t.co/pXYg3EtMCG",48,@CNN
-0.4019,Fri Aug 10 11:34:43 +0000 2018,0.149,0.766,0.084,"Puerto Rico now admits the death toll from Hurricane Maria could be 1,427 — far higher than the official toll of 64… https://t.co/JfYhMTK7mk",49,@CNN
0.0,Fri Aug 10 11:23:10 +0000 2018,0.0,1.0,0.0,"NFL players kneel, raise fists or sit out National Anthem as preseason games begin https://t.co/E6hiadJKVZ https://t.co/w7L0G10EF4",50,@CNN
0.0,Fri Aug 10 11:07:00 +0000 2018,0.0,1.0,0.0,You may think of the Antarctic as pristine wilderness. Nope: It's already showing the effects of human activity tho… https://t.co/yhXe8k6GDF,51,@CNN
0.34,Fri Aug 10 10:53:02 +0000 2018,0.0,0.897,0.103,"Several NFL players took a knee, raised fists or did not take to the field while the National Anthem was played bef… https://t.co/AdiKiUxo80",52,@CNN
-0.7351,Fri Aug 10 10:49:02 +0000 2018,0.279,0.721,0.0,"Authorities in Bangladesh are being accused of torturing Shahidul Alam, one of the country's most famous photograph… https://t.co/15OlCKrZjH",53,@CNN
-0.7579,Fri Aug 10 10:42:05 +0000 2018,0.294,0.706,0.0,Ryanair was forced to cancel nearly 400 flights on Friday because of pilot strikes in some of its biggest markets.… https://t.co/p77u1gJXfb,54,@CNN
